Handle,Command,Field: primary_track_size,Field: hero_image,Field: track_products [list.product_reference],Field: uc_products [list.product_reference]
airman-ax12,MERGE,230x96x31,,t230x96x31nk,
airman-ax12-2,MERGE,230x96x31,,t230x96x31nk,
airman-ax15-2,MERGE,230x96x31,,t230x96x31nk,
airman-ax15u,MERGE,230x96x31,,t230x96x31nk,
airman-ax17u,MERGE,230x48x70,,"230x48x70-rubber-track-directional, bs2304870xd",
airman-ax30u-4,MERGE,300x52.5x86,,"bs30052586rsxd, tnt300525n86hd",
airman-ax35-1,MERGE,300x52.5Nx84,,300x52-5nx84-rubber-track-directional,
airman-ax35-2,MERGE,300x52.5Nx84,,300x52-5nx84-rubber-track-directional,
airman-ax35u,MERGE,300x52.5x86,,"bs30052586rsxd, tnt300525n86hd",
airman-ax35u-4,MERGE,300x52.5x86,,"bs30052586rsxd, tnt300525n86hd",
airman-ax36u,MERGE,300x52.5x86,,"bs30052586rsxd, tnt300525n86hd",
airman-ax36ucgl,MERGE,300x52.5x86,,"bs30052586rsxd, tnt300525n86hd",
airman-axc12,MERGE,230x96x31,,t230x96x31nk,
airman-axc15,MERGE,230x96x31,,t230x96x31nk,
asv-posi-trac2800,MERGE,457x101.6x56,,tnt457101656hdmb,
asv-posi-trac2810,MERGE,457x101.6x56,,tnt457101656hdmb,
asv-posi-trac4800,MERGE,457x101.6x56,,tnt457101656hdmb,heavy-duty-sprocket-tb43
asv-posi-trac4810,MERGE,457x101.6x56,,tnt457101656hdmb,heavy-duty-sprocket-tb43
asv-posi-trachd4500,MERGE,457x101.6x56,,tnt457101656hdmb,heavy-duty-sprocket-tb43
asv-pt-50,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,"bw2101grp, heavy-duty-sprocket-tb56"
asv-pt-60,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,"bw2101grp, heavy-duty-sprocket-tb56"
asv-pt-80,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb","bw10, heavy-duty-sprocket-tb39, sis39"
asv-pt-100,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rc-50,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,"bw2101grp, heavy-duty-sprocket-tb56"
asv-rc-60,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,"bw2101grp, heavy-duty-sprocket-tb56"
asv-rc100,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rc85,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rcv,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rcv-85,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rt-120f,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rt-135f,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-rt25,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,,
asv-rt30,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,,
asv-rt40,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,,
asv-rt-50,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,381x100-5x42-rubber-track-multi-bar,
asv-rt-60,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,
asv-rt-65,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,381x100-5x42-rubber-track-multi-bar,
asv-rt-75,MERGE,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,tnt457101651hdmb,
asv-rt-75hd,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-sc-50,MERGE,381x100.5x42,,381x100-5x42-rubber-track-multi-bar,"bw2101grp, heavy-duty-sprocket-tb56"
asv-sr-80,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb",
asv-vt-70,MERGE,,,381x100-5x42-rubber-track-multi-bar,
bobcat-225,MERGE,300x52.5Nx74,,300x52-5nx74-rubber-track-directional,
bobcat-231,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l",
bobcat-320,MERGE,230x72Kx45,,,heavy-duty-sprocket-sp6816203
bobcat-321,MERGE,,,,"heavy-duty-sprocket-sp6816203, heavy-duty-track-roller-tr7136983"
bobcat-323,MERGE,,,,"heavy-duty-sprocket-sp6816203, heavy-duty-track-roller-tr7136983"
bobcat-325,MERGE,300x52.5Nx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-325-hero.webp,"300x52-5nx74-rubber-track-directional, tnt3205472hd","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-sprocket-v6587308v, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7019167"
bobcat-328,MERGE,300x52.5Nx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-328-hero.webp,300x52-5nx74-rubber-track-directional,
bobcat-329,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7019167"
bobcat-331,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7013575, heavy-duty-track-roller-tr7019167"
bobcat-331e,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7019167"
bobcat-334,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7013575, heavy-duty-track-roller-tr7019167"
bobcat-337,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, ct135-51-72-400, heavy-duty-front-idler-fi6815125, heavy-duty-sprocket-sp6816209, heavy-duty-track-roller-tr6814890, heavy-duty-track-roller-tr7013577, heavy-duty-track-roller-tr7013577s"
bobcat-341,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, ct135-51-72-400, heavy-duty-front-idler-fi6815125, heavy-duty-sprocket-sp6816209, heavy-duty-track-roller-tr6814890, heavy-duty-track-roller-tr7013577, heavy-duty-track-roller-tr7013577s"
bobcat-418,MERGE,180x72x39,,"180x72x39-rubber-tracks, bs1807239cxd, tnt1807239hd",
bobcat-425,MERGE,300x52.5Nx80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-425-hero.webp,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-track-roller-tr7019167"
bobcat-428,MERGE,300x52.5Nx80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-428-hero.webp,"300x52-5nx80-rubber-track-directional, bs300525n80xd","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372"
bobcat-435,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, ct135-51-72-400, heavy-duty-front-idler-fi6815125, heavy-duty-sprocket-sp6816209, heavy-duty-track-roller-tr7013577"
bobcat-442,MERGE,400x72.5Kx74,,450x71x86-rubber-track-directional,"bo135-400, ct135-51-72-400"
bobcat-864,MERGE,320x86x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-864-hero.webp,"320x86x52-rubber-tracks, 450x86x52-rubber-track-z-max, bs3208652bxd, bs3208652cxd, bs3208652mbxd, bs3208652vxd, bs4508652bxd, bs4508652cxd, bs4508652vxd, sd4508652bbe, tnt3208652hdbl, tnt3208652hdmb, tnt3208652hdz, tnt3208652hdzb, tnt3208652sdc, tnt32086t52hdbl, tnt32086t52hdc, tnt32086t52hdmb, tnt32086t52hdzb, tnt4508652hdbl, tnt4508652hdc, tnt4508652hdmb, tnt4508652hdz, tnt4508652sdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6715821, heavy-duty-sprocket-sp7165109, heavy-duty-track-roller-tr6689371, heavy-duty-track-roller-tr6732901b"
bobcat-e08,MERGE,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e08-hero.webp,"180x72x39-rubber-tracks, 250x72x39-rubber-track-directional, bs1807239cxd, bs2507239cxd, tnt1807239hd",heavy-duty-track-roller-tr7165324
bobcat-e10,MERGE,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e10-hero.webp,"180x72x39-rubber-tracks, 250x72x39-rubber-track-directional, bs1807239cxd, bs2507239cxd, tnt1807239hd",heavy-duty-track-roller-tr7165324
bobcat-e20,MERGE,230x48x72,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e20-hero.webp,230x48x72-rubber-track-directional,
bobcat-e25,MERGE,300x52.5Nx76,,300x52-5nx76-rubber-track-directional,
bobcat-e26,MERGE,300x52.5Nx80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e26-hero.webp,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-carrier-roller-cr7257873, heavy-duty-carrier-roller-crrd411-22900, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr6814886am, heavy-duty-track-roller-tr7013575, heavy-duty-track-roller-tr7019167, heavy-duty-track-roller-tr7257870"
bobcat-e32,MERGE,300x52.5Nx80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e32-hero.webp,"300x52-5nx80-rubber-track-directional, bs300525n80xd, st101-35-57-300-41l","bo101-300, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr7013575"
bobcat-e32i,MERGE,300x52.5Nx80,,"300x52-5nx80-rubber-track-directional, bs300525n80xd","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr7013575"
bobcat-e34,MERGE,300x52.5Nx84,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-excavator-hero.webp?v=1773973926,,
bobcat-e35,MERGE,300x52.5Nx84,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e35-hero.webp,"300x52-5nx84-rubber-track-directional, st101-45-67-300-45l, tnt3205482hd","bo101-300, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp6813372, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr7013575"
bobcat-e35i,MERGE,300x52.5Nx84,,"300x52-5nx84-rubber-track-directional, tnt3205482hd","bo101-300, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr7013575"
bobcat-e35z,MERGE,300x52.5Nx84,,"300x52-5nx84-rubber-track-directional, tnt3205482hd","bo101-300, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp7199006, heavy-duty-track-roller-tr7013575"
bobcat-e37,MERGE,300x52.5Nx84,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-excavator-hero.webp?v=1773973926,,
bobcat-e42,MERGE,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e42-hero.webp,tnt35052592hd,"bo101-300, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi7199074, heavy-duty-sprocket-sp7199007, heavy-duty-track-roller-tr7013575"
bobcat-e45,MERGE,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e45-hero.webp,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, ct135-51-72-400, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi6815125, heavy-duty-front-idler-fi7202053, heavy-duty-track-roller-tr7013577"
bobcat-e50,MERGE,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e50-hero.webp,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, heavy-duty-carrier-roller-cr7020867, heavy-duty-carrier-roller-crrd809-21900, heavy-duty-front-idler-fi6815125, heavy-duty-front-idler-fi7202053, heavy-duty-track-roller-tr7013577"
bobcat-e55,MERGE,400x72.5Kx74,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e55-hero.webp,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l","bo135-400, ct135-51-72-400, heavy-duty-carrier-roller-cr7020867, heavy-duty-front-idler-fi6815125, heavy-duty-front-idler-fi7202053, heavy-duty-track-roller-tr7013577"
bobcat-e55z,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd",bo101-300
bobcat-e60,MERGE,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e60-hero.webp,"400x72-5wx76-rubber-track-directional, st135-53-80-400-40l","bo135-400, ct135-51-72-400"
bobcat-e63,MERGE,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e63-hero.webp,"400x72-5wx76-rubber-track-directional, st135-53-80-400-40l","bo135-400, ct135-51-72-400"
bobcat-e80,MERGE,450x81Nx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e80-hero.webp,"450x81x78-rubber-track-mx, bs45081w76xd, ht154-58-90-450-40l, st154-58-90-450-39l, tnt45081w76hd","bo154-450, co154-450, heavy-duty-carrier-roller-cr7012275, heavy-duty-track-roller-tr7004933"
bobcat-e85,MERGE,450x81Nx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e85-hero.webp,"bs45081w76xd, ht154-45-73-450-39l, ht154-58-90-450-40l, st154-45-73-450-39l, st154-58-90-450-39l, tnt45081w76hd","bo154-450, co154-450, ct154-45-73-450"
bobcat-mt100,MERGE,180x72Kx45,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt100-hero.webp,"bs1807245cxd, bs2507245cxd, tnt18072k45hd, tnt23072k45hd",
bobcat-mt50,MERGE,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt50-hero.webp,"180x72x39-rubber-tracks, bs1807239cxd, tnt1807239hd","heavy-duty-idler-fi7109408, heavy-duty-sprocket-sp6733211, heavy-duty-track-roller-tr7109409"
bobcat-mt52,MERGE,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt52-hero.webp,"180x72x39-rubber-tracks, bs1807239cxd, tnt1807239hd","heavy-duty-idler-fi7109408, heavy-duty-sprocket-sp7107228, heavy-duty-track-roller-tr7109409"
bobcat-mt55,MERGE,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt55-hero.webp,"180x72x39-rubber-tracks, 230x72x39-rubber-track-c-block, 250x72x39-rubber-track-directional, bs1807239cxd, bs2507239cxd, tnt1807239hd","heavy-duty-idler-fi7109408, heavy-duty-sprocket-sp7107228, heavy-duty-track-roller-tr7109409"
bobcat-mt85,MERGE,180x72Kx45,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt85-hero.webp,"bs1807245cxd, bs2507245cxd, tnt18072k45hd, tnt23072k45hd","heavy-duty-idler-fi7109408, heavy-duty-track-roller-tr7109409"
bobcat-t110,MERGE,250x72x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t110-hero.webp,"250x72x52-rubber-track-c-block, tnt2507252hd",
bobcat-t140,MERGE,320x84Bx46,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-skid-steer-hero.webp?v=1773971451,"tnt3208446hdbl, tnt3208446hdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp7165111, heavy-duty-sprocket-sp7166679, heavy-duty-track-roller-tr6732901b"
bobcat-t180,MERGE,320x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t180-hero.webp,"400x86x49-rubber-track-zig-zag, bs3208649bxd, bs3208649cxd, bs3208649mbxd, bs4008649cxd, tnt3208649hdbd, tnt3208649hdbl, tnt3208649hdc, tnt3208649hdmb, tnt3208649hdz, tnt3208649hdzb, tnt3208649sdc, tnt4008649hdbd, tnt4008649hdbl, tnt4008649hdc, tnt4008649hdmb, tnt4008649hdz","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6726052, heavy-duty-sprocket-sp6736308, heavy-duty-sprocket-sp7165111, heavy-duty-sprocket-sp7166679, heavy-duty-sprocket-spadaptert190, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
bobcat-t190,MERGE,320x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t190-hero.webp,"400x86x49-rubber-track-zig-zag, bs3208649bxd, bs3208649cxd, bs3208649mbxd, bs4008649cxd, tnt3208649hdbd, tnt3208649hdbl, tnt3208649hdc, tnt3208649hdmb, tnt3208649hdz, tnt3208649hdzb, tnt3208649sdc, tnt4008649hdbd, tnt4008649hdbl, tnt4008649hdc, tnt4008649hdmb, tnt4008649hdz","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6726052, heavy-duty-sprocket-sp6736308, heavy-duty-sprocket-sp7165111, heavy-duty-sprocket-sp7166679, heavy-duty-sprocket-spadaptert190, heavy-duty-track-roller-tr6689371, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
bobcat-t200,MERGE,320x86x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t200-hero.webp,"320x86x52-rubber-tracks, 400x86x52-rubber-track-c-block, 450x86x52-rubber-track-z-max, bs3208652bxd, bs3208652cxd, bs3208652mbxd, bs3208652vxd, bs4008652bxd, bs4008652xdmb, bs4508652bxd, bs4508652cxd, bs4508652vxd, sd4508652bbe, tnt3208652hdbl, tnt3208652hdmb, tnt3208652hdz, tnt3208652hdzb, tnt3208652sdc, tnt4008652hdbd, tnt4008652hdbl, tnt4008652hdmb, tnt4008652hdtb, tnt4008652hdz, tnt4008652hdzb, tnt4508652hdbl, tnt4508652hdc, tnt4508652hdmb, tnt4508652hdz, tnt4508652sdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6715821, heavy-duty-sprocket-sp7165109, heavy-duty-track-roller-tr6689371, heavy-duty-track-roller-tr6732901b"
bobcat-t250,MERGE,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t250-hero.webp,"400x86x55-rubber-track-c-block, 400x86x55-rubber-track-multi-bar, 400x86x55-rubber-track-zig-zag, 450x86x55-rubber-track-c-block, bs4508655bxd, bs4508655cxd, bs4508655mbxd, bs4508655vxd, tnt4008655hdbl, tnt4508655hdbd, tnt4508655hdbl, tnt4508655hdmb, tnt4508655hdxt, tnt4508655hdz, tnt4508655hdzb, tnt4508655sdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6715821, heavy-duty-sprocket-sp7165109, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
bobcat-t300,MERGE,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t300-hero.webp,"400x86x55-rubber-track-c-block, 400x86x55-rubber-track-multi-bar, 400x86x55-rubber-track-zig-zag, 450x86x55-rubber-track-c-block, bs4508655bxd, bs4508655cxd, bs4508655mbxd, bs4508655vxd, tnt4008655hdbl, tnt4508655hdbd, tnt4508655hdbl, tnt4508655hdmb, tnt4508655hdxt, tnt4508655hdz, tnt4508655hdzb, tnt4508655sdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp6715821, heavy-duty-sprocket-sp7165109, heavy-duty-sprocket-sp7196807, heavy-duty-track-roller-tr6732901b"
bobcat-t320,MERGE,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t320-hero.webp,"400x86x55-rubber-track-c-block, 400x86x55-rubber-track-multi-bar, 400x86x55-rubber-track-zig-zag, 450x86x55-rubber-track-c-block, bs4508655bxd, bs4508655cxd, bs4508655mbxd, bs4508655vxd, tnt4008655hdbl, tnt4508655hdbd, tnt4508655hdbl, tnt4508655hdmb, tnt4508655hdxt, tnt4508655hdz, tnt4508655hdzb, tnt4508655sdc","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6732903, heavy-duty-sprocket-sp7165109, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
bobcat-t450,MERGE,320x84Bx46,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-skid-steer-hero.webp?v=1773971451,"bs3008446xdc, tnt3208446hdbl, tnt3208446hdc","heavy-duty-sprocket-sp7204050, heavy-duty-track-roller-tr7201400"
bobcat-t550,MERGE,400x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t550-hero.webp,"400x86x49-rubber-track-zig-zag, bs3208649bxd, bs3208649cxd, bs3208649mbxd, bs4008649cxd, tnt3208649hdbd, tnt3208649hdbl, tnt3208649hdc, tnt3208649hdmb, tnt3208649hdz, tnt3208649hdzb, tnt3208649sdc, tnt4008649hdbd, tnt4008649hdbl, tnt4008649hdc, tnt4008649hdmb, tnt4008649hdz","heavy-duty-front-idler-fi6732902, heavy-duty-rear-idler-rr6697933, heavy-duty-rear-idler-rr6732903, heavy-duty-rear-idler-rr7233630, heavy-duty-sprocket-sp7166679, heavy-duty-sprocket-sp7204050, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b, heavy-duty-track-roller-tr7233399"
bobcat-t590,MERGE,320x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t590-hero.webp,"400x86x49-rubber-track-zig-zag, bs3208649bxd, bs3208649cxd, bs3208649mbxd, bs4008649cxd, tnt3208649hdbd, tnt3208649hdbl, tnt3208649hdc, tnt3208649hdmb, tnt3208649hdz, tnt3208649hdzb, tnt3208649sdc, tnt4008649hdbd, tnt4008649hdbl, tnt4008649hdc, tnt4008649hdmb, tnt4008649hdz","heavy-duty-front-idler-fi6732902, heavy-duty-front-idler-fi7229101, heavy-duty-rear-idler-rr6697933, heavy-duty-rear-idler-rr6732903, heavy-duty-rear-idler-rr7233630, heavy-duty-sprocket-sp7165109, heavy-duty-sprocket-sp7165111, heavy-duty-sprocket-sp7166679, heavy-duty-sprocket-sp7204050, heavy-duty-track-roller-tr6689371, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
bobcat-t595,MERGE,320x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t595-hero.webp,"400x86x49-rubber-track-zig-zag, bs3208649bxd, bs3208649cxd, bs3208649mbxd, bs4008649cxd, tnt3208649hdbd, tnt3208649hdbl, tnt3208649hdc, tnt3208649hdmb, tnt3208649hdz, tnt3208649hdzb, tnt3208649sdc, tnt4008649hdbd, tnt4008649hdbl, tnt4008649hdc, tnt4008649hdmb, tnt4008649hdz","heavy-duty-front-idler-fi7229101, heavy-duty-rear-idler-rr7233630, heavy-duty-sprocket-sp7204050, heavy-duty-track-roller-tr6732901b, heavy-duty-track-roller-tr7233399"
bobcat-t62,MERGE,400x86Bx50,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t62-hero.webp,"320x86x50-rubber-track-c-block, 400x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, bs4008650bxd, bs4008650cxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc, tnt4008650hdbl, tnt4008650hdmb, tnt4008650hdtb, tnt4008650hdz, tnt4008650hdzb","heavy-duty-front-idler-fi7229101, heavy-duty-rear-idler-rr7233630"
bobcat-t630,MERGE,320x86x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t630-hero.webp,"320x86x52-rubber-tracks, 400x86x52-rubber-track-c-block, 450x86x52-rubber-track-z-max, bs3208652bxd, bs3208652cxd, bs3208652mbxd, bs3208652vxd, bs4008652bxd, bs4008652xdmb, bs4508652bxd, bs4508652cxd, bs4508652vxd, sd4508652bbe, tnt3208652hdbl, tnt3208652hdmb, tnt3208652hdz, tnt3208652hdzb, tnt3208652sdc, tnt32086t52hdbl, tnt32086t52hdc, tnt32086t52hdmb, tnt32086t52hdzb, tnt4008652hdbd, tnt4008652hdbl, tnt4008652hdmb, tnt4008652hdtb, tnt4008652hdz, tnt4008652hdzb, tnt4508652hdbl, tnt4508652hdc, tnt4508652hdmb, tnt4508652hdz, tnt4508652sdc","heavy-duty-front-idler-fi6732902, heavy-duty-front-idler-fi7240006, heavy-duty-rear-idler-rr6697933, heavy-duty-rear-idler-rr6732903, heavy-duty-rear-idler-rr7233630, heavy-duty-sprocket-sp7165109, heavy-duty-sprocket-sp7166679, heavy-duty-sprocket-sp7196807, heavy-duty-sprocket-sp7270159, heavy-duty-track-roller-tr6693239, heavy-duty-track-roller-tr6732901b"
